fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	extra_trees	early_stopping_rounds	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220831 210441	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	690	TRUE	TRUE	203	0.0287944828054053	0.429612097669905	1406	169	0.447462615127094	194
20220831 210448	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	576	TRUE	TRUE	438	0.0122354480400783	0.31556855185164	3	13	0.467182273111342	195
20220831 210451	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	198	TRUE	TRUE	74	0.111559722281711	0.207827614395833	452	449	0.457390073488418	196
20220831 210454	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	187	TRUE	TRUE	54	0.20068245150242	0.240069908504048	1327	716	0.440487397713596	197
20220831 210459	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	87	TRUE	TRUE	127	0.0510378949481053	0.45008854877285	71	807	0.462159024627242	198
20220831 210503	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	221	TRUE	TRUE	123	0.0536813667301143	0.424730288517472	492	775	0.466001179225466	199
20220831 210509	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	305	TRUE	TRUE	180	0.0331610064257698	0.439725337075864	380	546	0.467472416942184	200
20220831 210603	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	1497	TRUE	TRUE	262	0.0214794637062156	0.5210442866163	4	392	0.45560111713411	201
20220831 210611	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	476	TRUE	TRUE	370	0.0146672094028625	0.488820928798219	63	10	0.47004295616988	202
20220831 210614	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	63	TRUE	TRUE	49	0.25864910662719	0.383640157549875	760	895	0.456199828597149	203
20220831 210617	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	305	TRUE	TRUE	57	0.182990790095502	0.412509925180627	1698	145	0.432588912921707	204
20220831 210619	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	107	TRUE	TRUE	52	0.2174095829581	0.326848970609857	1058	96	0.444697045308363	205
20220831 210622	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	179	TRUE	TRUE	50	0.249530790012237	0.356476087968005	1844	908	0.425483660756585	206
20220831 210628	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	222	TRUE	TRUE	168	0.0360892487997922	0.457033256697032	197	976	0.467502737801003	207
20220831 210635	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	442	TRUE	TRUE	220	0.0262161098950728	0.425769288763987	299	753	0.467723531961853	208
20220831 210639	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	114	TRUE	TRUE	126	0.0519539964537348	0.423553663861819	168	97	0.46306721604301	209
20220831 210643	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	104	TRUE	TRUE	124	0.0531108087071783	0.632295611408868	85	11	0.469270288568605	210
20220831 210653	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	677	TRUE	TRUE	342	0.01597771057531	0.452787762046146	300	18	0.468303280176481	211
20220831 210700	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	319	TRUE	TRUE	223	0.0258336730072968	0.552995958950621	347	716	0.468188475703868	212
20220831 210706	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	202	TRUE	TRUE	150	0.041514391339373	0.628454235070342	265	126	0.463546828300592	213
20220831 210710	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	114	TRUE	TRUE	124	0.0526590064537895	0.361114683165975	139	857	0.462321201862328	214
20220831 210715	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	176	TRUE	TRUE	152	0.0407617162831966	0.51700720658535	215	943	0.467348079405973	215
20220831 210726	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	507	TRUE	TRUE	282	0.0198058626111584	0.595901366885266	248	824	0.469335285045676	216
